;Player_Name;Transcription_Text
0;MARISHA;And I cast my Skywrite spell-- ew, I just spit-- and I use the smoke in the distance and as it's rising up into the sky, start drawing out the de Rolo family crest in the smoke.
1;MATT;Okay.
2;MATT;You begin to take the plume of smoke and filter into the dark rain clouds and you make the smoke go to a thicker, thicker black and take the next few moments to begin sculpting in the air until eventually we have a very well-defined de Rolo crest now staring down at the entire city of Whitestone.
3;SAM;Oh!
4;SAM;Something's happening!
5;SAM;Something's happening in the sky!
6;MARISHA;That's me.
7;SAM;I think it's a magic wielder of some sort.
8;SAM;Something-- I must flee!
9;SAM;(laughter)
10;MATT;All right.
11;MATT;Investigation checks from both of you.
12;LAURA;Okay.
13;TRAVIS;Did I find anything on Smash-Face?
14;LIAM;(sighs) That's what you rolled the last time.
15;LAURA;I know!
16;TALIESIN;16.
17;LAURA;I've got to put this one away for a while.
18;MATT;What did you roll?
19;LAURA;I rolled a nine.
20;MATT;Okay.
21;MATT;The two of you take a while upstairs looking about the rooms.
22;MATT;You manage to acquire from just some of the local bits of cabinets and dust, you gather about 230 gold pieces.
23;LAURA;230?
24;MATT;Just loose gold pieces that are around.
25;MATT;There is a nice jewelry box that seems to contain most of the jewels and gems that this individual likes.
26;LAURA;I'm going to take the whole jewelry box and sort through it later.
27;MATT;Okay.
28;MATT;So say a box of Tylieri's jewelry would be what you've marked down.
29;TALIESIN;Tylieri family jewels.
30;TALIESIN;(laughter) That won't be confusing at all.
31;MATT;There you go.
32;MATT;You do notice, however, that's all you're able to find for the most part, other than some few bits of clothing and outfit.
33;MATT;The master bedroom has no bed.
34;LAURA;Does he sleep in a coffin?
35;TALIESIN;We're going to finish searching downstairs and then find the entrance to the--
36;MATT;Okay.
37;LIAM;I'd like to wind my way up there, as well.
38;MATT;Okay, as you make your way up there you notice them stepping out.
39;LIAM;Yeah.
40;LIAM;I'm still curious.
41;LIAM;I want to go have a look as well.
42;MATT;Go for it.
43;MATT;Investigation.
44;LAURA;That's better, thank you.
45;LIAM;16.
46;MATT;16?
47;MATT;You look through the room.
48;MATT;Most everything of interest has already been picked clean.
49;MATT;This room also doesn't seem to see much use other than the clothing that's in there.
50;MATT;This room is used for dressing and presentational purposes but other than that, as a bedroom, it's pretty useless.
51;MATT;As you guys go downstairs, we'll say for the sake of brevity you take a little bit of time to start looking through.
52;MATT;You know you're a little pressed for time because you can feel the energy in the town begin to rise and you start hearing noises.
53;MATT;You keeping an eye out?
54;MARISHA;Yeah.
55;MATT;The people that rush into the rooms are now rushing back out, some of them wearing leather tunics and small bits of armor, their weapons gathered, and they're forming small bands.
56;MARISHA;I come over the speakers once again, the ear pieces.
57;MARISHA;I think it's time to go.
58;MARISHA;Whenever you guys are ready, I want to light this bitch up.
59;TRAVIS;We need to check all the rooms that go downstairs first.
60;MARISHA;All right, quick.
61;TRAVIS;Got an empty house.
62;TRAVIS;I run out to the door to the left.
63;TRAVIS;To the uncovered areas.
64;MATT;Okay.
65;MATT;You go over to this hallway.
66;MATT;You eventually smash the door, doesn't take too long.
67;MATT;It leads into what looks like a small study or some sort of an office room.
68;MATT;A big blue rug, a desk with a chair, some papers strewn about.
69;TRAVIS;Can I grab the rug and yank it?
70;MATT;Yeah, pull the rug off, reveals a hatch.
71;TRAVIS;(excited shouting) I found a hatch!
72;LAURA;(cries out in pain) No need to yell!
73;TRAVIS;Oh sorry.
74;TRAVIS;(quieter) I found a hatch.
75;TALIESIN;Quick, I just want to do a quick round of the downstairs room before going to the hatch.
76;MATT;Okay.
77;MATT;Glancing about, you find what looks to be a general sitting area, a music room, or a place where you would host guests.
78;MATT;Also in fair disuse.
79;MATT;And then beyond that, you find a room that's pretty bland, with a staircase that leads down into what was once servants' quarters that has been converted into a torture room.
80;LAURA;Oh, lovely.
81;MATT;It's a little nicer in its presentation and tools than the duergar torture room that you encountered in the Underdark, but this looks to be like Tylieri had a definite interest in entertaining unwanted guests.
82;TALIESIN;Okay.
83;TRAVIS;Vax or Vex, will you come check this hatch for boobies?
84;TRAVIS;(laughter)
85;LIAM;I jog on down.
86;MATT;All right, make a perception check.
87;LIAM;Yeah.
88;LIAM;That's a 23.
89;MATT;Yeah, it does not appear to be trapped.
90;TRAVIS;No boobies.
91;LIAM;Okay.
92;LIAM;You want to open that, big guy?
93;TRAVIS;Yeah!
94;TRAVIS;(growls)
95;MATT;(vroom) The hatch comes up.
96;MATT;"There is no ladder; it's just a ten-foot drop down into a basement."
97;TRAVIS;Okay, I jump.
98;MATT;Land down there.
99;MATT;A 20 foot by 20 foot room.
100;MATT;It's very musty.
101;MATT;However, you do see in the far corner there is a pad of fresh earth set up, and there is a dark box.
102;TRAVIS;Um.
103;MATT;About eight feet long.
104;LIAM;I hear him say Um, and I jump down, too.
105;LIAM;With the Flametongue dagger out for light.
106;MATT;Okay.
107;MATT;The room lights up a little bit and you can see across the way there is a not super-detailed, but a fairly well-crafted coffin on the opposite side of the room.
108;TRAVIS;Ooh!
109;TRAVIS;I bet there's treasure in there!
110;LIAM;You might be right.
111;LIAM;Yeah, let's go have a look.
112;LAURA;Is there treasure?
113;LAURA;Did you find treasure?
114;LIAM;Hold, please.
115;LIAM;Perception check the coffin.
116;LIAM;That's a 20.
117;MATT;Okay.
118;MATT;The coffin does not appear to be trapped?
119;TRAVIS;Can I open it?
120;MARISHA;He said that with a question mark.
121;MATT;It's always fun to do that.
122;TRAVIS;Well, should I just smash it?
123;LIAM;I really feel like this could be--
124;LAURA;Smash it!
125;TRAVIS;Three, two.
126;TRAVIS;Grog smashes.
127;LIAM;I kick it off with the end of my foot.
128;LIAM;Little bit.
129;LIAM;Or try to.
130;MATT;Okay.
131;MATT;(boof) The lid flies off and then slams on the ground.
132;MATT;A smell hits you that's just like musty old mildewed earth.
133;MATT;The inside of the coffin is, it's lined with like a fine purplish velvet material, the smell quickly fades.
134;MATT;It looks like there are some small baubles in there, keepsakes.
135;MATT;There is what looks to be a cape or a cloak that is laid across the bottom of this for comfort.
136;LIAM;Roll it up.
137;LIAM;Put it into my satchel.
138;LIAM;I'm going to take a dagger out and I want to cut all the way up through that purple velvet.
139;LIAM;Just see, just in case.
140;MATT;Okay.
141;MATT;You cut through the purple velvet.
142;MATT;Rummage through underneath.
143;MATT;It appears to be the back of the box.
144;TALIESIN;I'm going to check his desk upstairs for anything interesting.
145;MATT;Okay.
146;MATT;Want to make an investigation check?
147;TALIESIN;Natural 20.
148;MATT;As you're rummaging through the notes in the desk, a lot of them are ledgers involving the trade in and out of the city.
149;MATT;He has his hands dabbling in elements of the timber trade, elements of the actual trade of whitestone.
150;MATT;He talks about the-- and you understand, the reason that Whitestone itself is-- the stone that's mined here is so popular for construction and architecture and other elements is the stone that these mountains are made of, when properly prepared, there is a faint bit of residuum that is naturally ingrained in the rock here.
151;MATT;No one really knows how it came about, but whatever it is, while it is not inherently magical, it makes it a little bit easier, faster, and cheaper to enchant the stone.
152;MATT;So when it comes to, you know, enchanting a teleportation circle permanently somewhere or for traps or things-- not actual objects but actually enchanting anything made of stonework.
153;MATT;It's easier to enchant, and that's why the whitestone of this area is sought after and a good trade element.
154;MATT;So there's notes about that.
155;MATT;But the stone trade has been halted, all stone has continued to be mined, but it's not being transported.
156;TRAVIS;Is the desk made out of the stone?
157;MATT;No, there's just notes about it.
158;MATT;So all the whitestone that is being mined is not being exported.
159;MATT;It's being kept here, somewhere.
160;LAURA;They're making something big.
161;TALIESIN;They're making something big.
162;LIAM;I think we need to get out of here.
163;TRAVIS;I was going to ask, are you good with the coffin?
164;LIAM;Yeah.
165;TRAVIS;Okay.
166;TRAVIS;I smash the shit out of it, in an effort to see what's underneath.
167;MATT;Okay.
168;MATT;You take about 30 seconds of extreme violence against the wooden coffin, killing it into chunks and blocks.
169;MATT;You get the feeling that this may have been the place the mist was trying to get to.
170;MATT;But it did not make its journey.
171;MATT;It got scattered by druid Sunbeam and destroyed, and the coffin is left in ruins.
172;MATT;You do-- even you, Grog-- absorb the fact that when a vampire goes to mist form, you get the feeling that this is the home it needs to come to, to try and survive.
173;TRAVIS;Not anymore.
174;MATT;Not anymore.
175;MATT;Not that one.
176;MARISHA;Do I see anyone coming?
177;MATT;Oh.
178;MATT;You see another zombie giant coming up the way.
179;MATT;You can see people attacking it, it's just thrashing them about, but this one seems less bothered by the group and is now moving towards a specific area, moving towards the fiery plume in the distance.
180;MATT;They're all gathering in that direction.
181;MARISHA;But no one seems to be rushing towards this house?
182;MATT;Not at the moment, no.
183;TRAVIS;This one's not on fire.
184;TRAVIS;Yet.
185;MATT;All right, you all gather, you can hear the rainstorm itself is coming down in sheets.
186;MATT;What do you want to do?
187;TRAVIS;Light this candle!
188;LAURA;Should we light this on fire, too?
189;TALIESIN;Burn it to the ground.
190;MARISHA;Everyone out.
191;MARISHA;And I start casting a Flaming Sphere.
192;MATT;Okay.
