;Player_Name;Transcription_Text
0;MATT;Hello, everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons and Dragons.
1;MATT;I think we're recording, because my camera light's not on, but nevertheless, welcome.
2;MATT;(laughs)
3;TRAVIS;We're totally recording.
4;MATT;I'm pretty sure we are.
5;MATT;Anyway guys, welcome, we have a fantastic guest who will be joining us later this evening, but before we get to that we have announcements to go over real fast.
6;MATT;First and foremost, tonight's episode is sponsored by a new sponsor, a fantastic group called Quidd!
7;MATT;If you want to talk about that first?
8;SAM;Hi, guys.
9;SAM;Vacation Sam here.
10;SAM;Quidd is our sponsor tonight, a fantastic new sticker app for your phone.
11;SAM;You can check it out at bitly, that's bit.ly/crquidd.
12;SAM;I didn't know much about the company, but Quidd sounded vaguely British, so little-known fact about me, I have access to the BBC archives at home, so I did some snooping and sure enough, I found a World War II newsreel transcript that talked about Quidd, so I thought I would do a dramatic reading of it for you right now.
13;LIAM;Here we go.
14;SAM;News from the front!
15;SAM;This is Nigel J. Creamhutch reporting from BBC London.
16;SAM;March 23, 1944 may be a turning point in WWII as PM Churchill announces a new weapon in the fight against those devilish Nazis.
17;SAM;They're calling it Quidd, a new app where you can collect stickers, cards and Funko figures on your telephone device.
18;SAM;Our lads on the frontlines are already using it!
19;SAM;We spoke with Lieutenant Neville Bingham of the Royal Navy.
20;SAM;Right, yeah, Quidd's this free app available on the Apple App Store and Google Play, and it's helping us drive Hitler back to Berlin.
21;SAM;But it's not just our Tommies.
22;SAM;The Reds have discovered Quidd as well!
23;SAM;We spoke with tank commander Ivan Bashenko.
24;SAM;With Quidd, Russian army is strongest in world.
25;SAM;Morale better now with thousands of stickers to collect that can be used like emojis in messages to your friends.
26;SAM;Stalingrad will not fall with these cute stickers!
27;SAM;Why, they're even using Quidd across the pond!
28;SAM;We spoke with American sergeant John Smith, an American Doughboy.
29;SAM;I'm John, an American.
30;SAM;We American GIs love to collect stickers from brands like Rick and Morty, Bob's Burgers, Family Guy, Breaking Bad, Star Trek, and newly announced Game of Thrones.
31;SAM;Take that, Emperor Hirohito!
32;SAM;Well, there you have it, ladies and gents.
33;SAM;Your British Armed Forces and our allies will defeat the Nazis and win the Second Great War if you go to bit.ly/crquidd and check out Quidd.
34;SAM;Good night, good luck, and god save the queen, pip pip!
35;SAM;(cheering)
36;TRAVIS;I'm so glad that's available on the BBC.
37;SAM;Yeah, it was a weird transcript.
38;SAM;I would have shown the newsreel, but it was just a transcript.
39;MATT;Fair enough.
40;MATT;Well, thank you for the update on that, and thank you, Quidd for sponsoring tonight's episode.
41;MATT;Really appreciate it.
42;LIAM;Did they win the war?
43;SAM;Find out next time!
44;SAM;(laughter)
45;MATT;All righty, let's see.
46;MATT;Do you have any merch updates at all, Laura?
47;LAURA;There's stuff in the store!
48;MATT;There you go.
49;MATT;Perfect.
50;MATT;Good, I like it, thank you.
51;MATT;The Green Ronin Campaign Guide.
52;MATT;Pre-orders go up on Monday, guys!
53;ALL;What!
54;LAURA;Oh my god.
55;MATT;Yes, and if you get the book and the pdf, I think the pdf is available immediately, so some of you will have access to actually read the book on Monday.
56;LAURA;Are you so nervous, Matt?
57;MATT;I'm so nervous.
58;MATT;(laughs nervously)
59;TALIESIN;People can actually, in real time, call us when we're wrong on our own stuff.
60;TRAVIS;What do you mean, finally?
61;TRAVIS;They do that every week.
62;MARISHA;Finally?
63;MARISHA;Although you are Taliesin Jaffe.
64;TALIESIN;"This is a level of pain I've only dreamed of; I'm very excited."
65;LIAM;Hey.
66;LIAM;We're so proud of you.
67;TRAVIS;Yeah, nice job with the words and stuff.
68;SAM;Hold on though, we haven't read it yet.
69;SAM;What if it's terribly written, by a child?
70;LAURA;We'll find out he used crayon.
71;LAURA;It's all written in marker.
72;MATT;Probably.
73;MATT;Do you know how hard it is to get crayon printed these days?
74;MARISHA;Only if the writers' room dropped the ball.
75;MATT;Well, I hope you guys enjoy it, so look forward to that.
