;Player_Name;Transcription_Text
0;MATT;And welcome back to our second half of our Shadow of War game, brought to you and sponsored by WB Games.
1;MATT;Thank you so much for letting this happen.
2;MATT;All of us are all voice actors in the game, in case you didn't check out the intro to the first half.
3;MATT;We're excited to bring these orcish characters of this one-shot together.
4;MATT;If you haven't seen the first half, you should probably go back and watch that first.
5;MATT;Otherwise, you'll be really confused.
6;LAURA;You should because it's really good.
7;DARIN;Well, we could do it right now.
8;LAURA;Yeah, do it all again?
9;MATT;Yeah!
10;MATT;Fine!
11;MATT;But yeah, Shadow of War comes out October 10th, looking forward to that.
12;MATT;The Shadow of War iOS and Android game is out now, so check it out.
13;MATT;Anyway, bringing us back in.
14;MATT;As the Forcs--
15;TRAVIS, LAURA;The Forcs!
16;MATT;As the Forcs have taken their break to rest themselves for a moment, to assess what to do next, you are now standing on the opposite edge of one of the Mithrim Spur Mountains, just past the crest.
17;MATT;As you traveled down, you found hidden in this alcove, six uruks, five of which are currently sleeping and bundled, and one who's keeping watch with a burning torch.
18;LAURA;Wait, did we actually take a short rest?
19;SAM;No.
20;TRAVIS;I got the numbers wrong.
21;LAURA;I thought it was intentional.
22;TRAVIS;Totally.
23;LAURA;We took a moment, so I didn't actually get my action surge back.
24;MATT;Nope.
25;SAM;Why are you Australian now?
26;LAURA;Am I?
27;TRAVIS;It's super flexible.
28;LAURA;Don't you worry about it, Samuel.
29;DARIN;If you've seen the first part, please send us a clip of what we sounded like at that point.
30;DARIN;So we can go back, Oh, right!
31;DARIN;Because apparently (French accent) I am this orc.
32;DARIN;I enjoy a fork.
33;TRAVIS;Slavic.
34;TRAVIS;Listen, I have not bathed a short sword in blood under the cover of dark in so long!
35;TRAVIS;I want to sneak up, and I want to take their bowels and pull them out while they sleep.
36;TRAVIS;But!
37;TRAVIS;We have to take care of that one that's watching guard, first.
38;TRAVIS;Who's sneaky?
39;LAURA;Should I run down there and kill him?
40;TRAVIS;Naw, are you sneaky?
41;LAURA;I don't know.
42;TRAVIS;Can you look?
43;SAM;Skak, don't you have some sort of a crossbow?
44;TRAVIS;I do!
45;SAM;Maybe you should be the one to take him down.
46;LAURA;Maybe we can lead him toward us and then--
47;SAM;Oh, we could cause a diversion!
48;LAURA;Yeah, and then you can take him out away from the guards that're sleeping.
49;TRAVIS;I like it!
50;SAM;Wait.
51;SAM;If we make a noise or something, won't he wake up everybody else?
52;LAURA;What if we hit him with a rock and he comes looking for it?
53;TRAVIS;Yeah, or you crack a branch, right?
54;TRAVIS;(cracking noise)
55;LAURA;Oh, that's a good idea!
56;LAURA;And I take a really big branch and I break it in half.
57;SAM;Oh no.
58;SAM;We're dumb.
59;MATT;The minute you hear the (cracking) sound, you hear this faint (grunt) sound over the cliff.
60;MATT;As you glance over, you see the one with the torch is now like--
61;SAM;How far away is he?
62;MATT;About 25 feet from you, 30 feet, down below.
63;SAM;Crossbow him!
64;LAURA;(hooting)
65;MATT;He's now walking toward one of them to start--
66;LAURA;I'm trying to sound like an owl in the night.
67;LAURA;Hoo-hoo!
68;MATT;Make a performance check.
69;LAURA;Okay.
70;TRAVIS;Can I aid her?
71;TRAVIS;Can I aid her with my Minor Illusion?
72;MATT;Sure.
73;MATT;How-- what are you going to do?
74;TRAVIS;Let's make it, like, a two-headed owl.
75;LAURA;I like it.
76;LAURA;Do I roll at advantage, then?
77;MATT;Because it's a two-headed owl?
78;MATT;No.
79;MATT;Sorry.
80;MATT;What'd you roll?
81;LAURA;Oh, I rolled a three.
82;LAURA;Minus two.
83;MATT;(laughing) So it's a (gurgling).
84;LAURA, TRAVIS;(hooting and gurgling)
85;TRAVIS;Wait, harmony.
86;LAURA, TRAVIS;(harmonizing) Hoo!
87;SAM;Little pitchy.
88;MATT;The uruk keeping guard immediately goes, What the shrak?
89;MATT;Goes and starts shaking one of them awake.
90;LAURA;Oh no!
91;LAURA;Hit him before he does that!
92;TRAVIS;I take the crossbow and I try to put it right in the back, where his head meets his neck.
93;MATT;Okay.
94;MATT;He doesn't currently see you, necessarily.
95;MATT;Roll a stealth check.
96;TRAVIS;20.
97;MATT;Does not seem to see you, so roll advantage on the attack.
98;TRAVIS;Okay.
99;TRAVIS;Natural 20.
100;MATT;So go ahead and roll the dice.
101;TRAVIS;Okay.
102;TRAVIS;d8 plus four.
103;TRAVIS;Eight, (counting).
104;MATT;Well, roll your sneak attack damage too, because that all gets doubled as well.
105;TRAVIS;16, 19, 22.
106;LAURA;22 times two.
107;MATT;Well, you don't add the modifier to it yet.
108;MATT;Double dice.
109;MATT;So 22 times two?
110;MATT;As he's shaking one of the uruk, he's like, Hey, get up!
111;MATT;Oof!
112;MATT;(gurgling) The one uruk's like, What the shit?
113;MATT;I was sleeping!
114;MATT;The other one's like, (gurgling) and falls onto his back, dead.
115;MATT;He's like, Huh?
116;MATT;The other one's getting up.
117;MATT;He's leaning forward now, inspecting the one who was there keeping watch.
118;TRAVIS;I can cast Sleep.
119;LAURA;Do it!
120;DARIN;I can use Misty Step.
121;DARIN;Can I?
122;DARIN;To sneak over.
123;MATT;You could appear right behind him if you wanted to.
124;DARIN;I would like to use Misty Step.
125;MATT;All right, so, as you're doing this, you slip into the shadows and quickly dart through the shadow, appearing behind the one who's waking up.
126;MATT;He's like, What in the--?
127;MATT;What are you going to do?
128;DARIN;I speak for Sauron.
129;DARIN;And I try to rip his throat out.
130;TRAVIS;Oh shit.
131;LAURA;Rip it out quietly!
132;TRAVIS;Shh!
133;MATT;Make a grapple check.
134;MATT;So go ahead and roll athletics.
135;DAVIS;16, plus my strength?
136;DAVIS;19.
137;MATT;All right, so, as it's sitting up from its weird, tattered bedroll, you whisper in its ear, I speak for Sauron.
138;MATT;Grab the back of its head.
139;MATT;Go ahead and roll an attack to try and bite into its throat.
140;DARIN;That is 13.
141;MATT;13?
142;MATT;Roll damage.
143;DARIN;Seven.
144;MATT;Okay.
145;MATT;Seven points.
146;MATT;All right.
147;MATT;As you pull the head back and bite into the throat, it's like (gurgling and gasping).
148;MATT;You tear a chunk out of its throat, but it's making all these gurgling noises.
149;MATT;All the other uruks start rousing.
150;LAURA;You should snap its neck!
151;LAURA;It's quieter!
152;MATT;So what do you want to do?
153;DARIN;I have another attack.
154;DARIN;I'm going to bite his neck again.
155;MATT;Go for it.
156;LAURA;He's a creative one, Mozuu.
157;DARIN;You see, Mozuu the Chosen means, I choose one thing and I do it over and over again, and that's it.
158;DARIN;That's it!
159;DARIN;That's what Sauron said.
160;DARIN;It is a 13.
161;MATT;13, all right.
162;MATT;Go ahead and roll damage.
163;MATT;Second time.
164;DARIN;For the love of Pete's Dragon.
165;DARIN;Okay, that is another seven because that's what happens.
166;TRAVIS;I thought he said quietly!
167;MATT;All right, as you go, (growling) Still alive.
168;MATT;Bite down again and pull out another piece.
169;MATT;You're taking chunks out of this orc's throat but it's still alive.
170;MATT;It's like (yelling), reaching up and grabbing at you now, and it's got the back of your head and is trying to pull you onto the ground.
171;MATT;All the other ones are rousing and grabbing their weapons.
172;LAURA;I think they know we're here.
173;SAM;Are they up?
174;SAM;Are they behind a wall?
175;MATT;They're in an alcove, like a little cliffside platform at the side of the mountain.
176;MATT;There's a mountain wall and then an outcropping, and they're on the outcropping.
177;MATT;It's hidden, recessed.
178;MATT;Below you.
179;SAM;Below us!
180;SAM;Oh, we're coming in from the mountain.
181;SAM;So we can jump down.
182;MATT;If you want to try.
183;LAURA;We didn't take a short rest, though.
184;MATT;It's about 25 feet down below.
185;LAURA;That would've been real smart.
186;DARIN;To be fair, they know I'm here.
187;LAURA;Maybe I should rest while this is going on because I should really rest.
188;TRAVIS;I'll cast Sleep on them.
189;MATT;So you pull out a small pouch--
190;TRAVIS;Yeah, with like, sleeping powder and herbs.
191;TRAVIS;I untie the top of it and I go, (whoosh).
192;MATT;All righty.
193;MATT;So--
194;LAURA;You're going to sleep too!
195;TRAVIS;Oh shit, well, I'm sure--
196;MATT;All right, roll 5d8.
197;LAURA;Wow, 5d8?
198;LAURA;!
199;DARIN;Orc throat makes me sleepy.
200;LAURA;It's 5d8 of--?
201;LAURA;Oh, okay, I know.
202;TRAVIS;32.
203;MATT;32.
204;MATT;So two of the uruk that are getting up out of bed are like, (grunt) reach for their weapons, and are like (grunting, then snoring), and fall immediately back to sleep.
205;MATT;The other three, however, are still rousing up from their slumber.
206;TRAVIS;The other three are?
207;MATT;Yeah.
208;TRAVIS;That's the best I got.
209;MATT;At this point, combat is definitely engaged.
210;MATT;I need you all to roll initiative.
211;DARIN;And I'm okay?
212;DARIN;I did not fall asleep?
213;MATT;Well, no, because it affects creatures with the lower hit dice, and you actually have a higher hit point value than most of them there.
214;MATT;So you weren't affected.
215;TRAVIS;And I choose?
216;TRAVIS;I choose which one--
217;LAURA;No.
218;DARIN;14.
219;TRAVIS;It says I choose--
220;SAM;Well, it doesn't matter.
221;MATT;All right.
222;SAM;Seven.
223;MATT;Seven, all righty.
224;LAURA;Eight.
225;MATT;All righty.
226;TRAVIS;21.
227;TRAVIS;I need to be a little intelligent bastard from now on.
228;MATT;All righty.
229;MATT;So Skak, you're up first.
230;MATT;You just threw the sleep powder into the air.
231;MATT;You watch as they get to their feet and begin to pull their weapons out.
232;MATT;It looks like the fray is on.
233;MATT;You're at the top of the combat round.
234;MATT;What do you want to do?
235;TRAVIS;I'll take the nearest one with my crossbow and fire.
236;MATT;Okay, go for it.
237;TRAVIS;Is he within melee range of him, for sneak attack?
238;TRAVIS;Probably not, because he's working on the guy with the throat, right?
239;MATT;Yeah, the guy with the throat is the only one that you have sneak attack on.
240;TRAVIS;15.
241;MATT;15 hits.
242;TRAVIS;Nice.
243;TRAVIS;That does seven points of piercing damage.
244;MATT;All right.
245;TRAVIS;Are we hopping off down a cliff, or are we running in toward where they are?
246;MATT;That's up to you.
247;MATT;They're about 25 feet down below on this cliff.
248;TRAVIS;I'm going to stay up on my perch.
249;MATT;Okay, stay up on your perch.
250;MATT;Got you.
251;MATT;You still have a bonus action if you wanted to hide.
252;TRAVIS;But I can only hide or disengage or--
253;LAURA;You could hide so they can't see you.
254;TRAVIS;Oh, well, let them see me.
255;MATT;All right, there you go.
256;MATT;So Skak is up in the open.
257;MATT;Mozuu, you're up.
258;DARIN;Okay.
259;DARIN;I am going to keep ripping at the man's-- Well, not the man.
260;DARIN;I'm going to keep ripping him.
261;MATT;The uruk, so go ahead for the attack.
262;DARIN;Oh, for the love of Pete's Dragon.
263;DARIN;Five.
264;MATT;Five.
265;MATT;You go to bite and this time it's reached over and it's grabbed a blade and a dagger.
266;MATT;It jams the pommel up into your mouth and it hits the roof of your mouth.
267;MATT;(gagging) You're now being partially choked by its blade, by the hilt of its blade.
268;MATT;So your first strike does not hit it.
269;MATT;You want to try a second time?
270;DARIN;Yes.
271;DARIN;And I have a blade in my mouth?
272;MATT;You have the pommel and hilt jammed up into your jaw and it's trying to keep you at bay.
273;DARIN;I'm going to try and jab the pommel in its eye.
274;DARIN;No, it's not stuck in my mouth, right?
275;MATT;Not at the moment, but you could bite down if you wanted.
276;DARIN;All right, I will.
277;DARIN;For the-- Seven.
278;MATT;Seven.
279;MATT;You try and bite down on it.
280;MATT;Actually breaks a tooth on the inside and you're like, Ugh!
281;MATT;You feel the pain sting through your jaw.
282;MATT;This is a stronger uruk than you expected and it's currently putting up quite a fight.
283;MATT;So that ends your turn, Mozuu?
284;DARIN;Ends my turn.
