;Player_Name;Transcription_Text
0;BRAIN;Are we on the internet?
1;BRAIN;Denise?
2;ASHLEY;Denise isn't here, babe, we're on vacation.
3;BRAIN;Psh, we're not on the internet.
4;BRAIN;We're on vacation!
5;BRAIN;Sorry guys, no official Talks Machina tonight.
6;BRAIN;Instead, you'll be joined by the cast of Critical Role for a very special Critmas episode.
7;BRAIN;We'll be back next week, but until then, stay turnt my friends.
8;BRAIN;[upbeat music]
9;LAURA;I don't know what to do.
10;MARISHA;We don't have a host.
11;TALIESIN;We've really never had to deal with this before.
12;LAURA;No, this is new.
13;DENISE;Hello!
14;TALIESIN, MARISHA;Denise?
15;DENISE;Say hello to everybody first!
16;LAURA;Hi guys, welcome to Talk Machina!
17;MARISHA;We need an adult.
18;TALIESIN;We have no adults here.
19;LAURA;We're gonna have a Critmas.
20;TALIESIN;Welcome to Critmas in May.
21;TALIESIN;We decided that we would make a mess of the studio instead of Matt and Marisha's house for once.
22;MARISHA;There's still a pile of cardboard from our past Critmas.
23;MARISHA;Need to handle that.
24;MARISHA;Had to handle our yard first.
25;LAURA;How's that going?
26;MARISHA;We fill up the trash bin or the yard bin once a week.
27;MARISHA;We think it's gonna be about a six-week endeavor to keep filling the trash bin with yard clippings.
28;TALIESIN;Yay 100th episode!
29;TALIESIN;It'll be great!
30;MARISHA;My yard will still maybe look like we're cooking meth.
31;LAURA;By then all the weeds will have grown back!
32;TALIESIN;They're already trying to turn again aren't they?
33;MARISHA;Well actually now it's kinda happened because the piles of leaves, the grass underneath is just dying.
34;MARISHA;It's going the extreme opposite now.
35;LAURA;Good times.
36;TALIESIN;So we've been sent a lot of stuff over the last couple months and we're aware we don't actually have time to open everything but we're going to do our best to at least-- The crew has been generous enough to figure out some interesting stuff and put it all together in an order of interest.
37;LAURA;Liam and Matt are on the way by the way!
38;LAURA;It's not just gonna be us three alone.
39;TALIESIN;Travis and Sam are on their way but they'll be here by Thursday.
40;LAURA;Hey!
41;LAURA;There's somebody!
42;TALIESIN;Speak of the devil!
43;MARISHA;You made it sooner than you thought!
44;MARISHA;Why are you holding a bunch of stuff?
45;MATT;These are Critmas gifts from Joe Manganiello for you guys.
46;TALIESIN;No!
47;TALIESIN;We were just talking about that!
48;TALIESIN;Oh my-- what!
49;MATT;This is new dice for you to burn through.
50;LAURA;Really?
51;LAURA;Did he give me that glittery gold one I saw online, because I wanted it so bad!
52;MATT;These are for you, Liam, Travis, and Ashley because you guys need to take notes so Marisha isn't the only one.
53;TALIESIN;Yeah, that's fair.
54;MATT;And then you and Sam got afterthoughts.
55;TALIESIN;That's excellent, my favorite.
56;LAURA;Look at these beautiful!
57;MARISHA;Oh those are cool!
58;LAURA;Now they're Yin and Yang, it's like me and Vax!
59;MARISHA;They are and they're kind of slightly see-through.
60;MARISHA;Thanks Joe!
61;MARISHA;Starting Critmas right!
62;LAURA;They're warm.
63;LAURA;Where have they been?
64;MATT;My car.
65;TALIESIN;I'm really hoping that's a euphemism.
66;TALIESIN;There we are.
67;LAURA;My car!
68;TALIESIN;Ampersand!
69;LAURA;By the way, I didn't realize when I made the white dragon armor that me and Vax are now white and black, which is so fucking cool!
