;Player_Name;Transcription_Text
0;MATT;Hello, everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons and Dragons.
1;MATT;Yeah!
2;MATT;Before we get started for the day, let's get into some of our quick announcements.
3;MATT;First off, happy to be back.
4;MATT;Me, Marisha, and Taliesin were gone for a better part of two weeks.
5;MATT;We missed you guys.
6;MATT;We actually met a few Critters around the desert with us.
7;LAURA;Oh, really?
8;MATT;Yeah.
9;LIAM;You were in Connecticut for a week, right?
10;MATT;Yeah!
11;TRAVIS;Were they dressed up like they were from Marquet?
12;MATT;Basically, yeah.
13;TRAVIS;Oh, really?
14;MATT;(laughs) It was really cool but we were happy to be back--
15;TALIESIN;How do you want to burn this?
16;TRAVIS;Spice?
17;TRAVIS;Spice?
18;TRAVIS;Spice?
19;MATT;Spice?
20;MATT;Spice?
21;MATT;Spice?
22;MATT;Do you spice?
23;LAURA;Everybody spices at Burning Man.
24;LAURA;I'm pretty sure.
25;MATT;Sam will be about an hour late tonight.
26;MATT;Unfortunately, he has work pushing later in the evening than normally would be, but he'll be joining us as soon as he possibly can.
27;MATT;So he'll be on his way.
28;MATT;Let's see, also a big round of applause for Liam running an awesome one-shot last week.
29;MATT;Once again, well done, man.
30;LIAM;I just wanted to see Travis show his true self.
31;TRAVIS;I don't know what you mean, sir.
32;TALIESIN;No spoilers!
33;LIAM;It worked.
34;MATT;Oh, it's great.
35;MATT;Anyway, let's get back in the swing of things here.
36;MATT;Announcements real fast if you want to start with this, Travis.
37;TRAVIS;Yes!
38;TRAVIS;Our week's amazing episode is brought to you by Loot Crate!
39;TRAVIS;And their theme for this month, the month of September, is Speed.
40;TRAVIS;They've got amazing, high-octane titles like: Speed, Battlestar Galactica, Iron Man, Gone in 60 Seconds, Arrow, Batman, CW's The Flash, plus many more.
41;LAURA;The fastest things ever!
42;TRAVIS;I'm telling you, like that announcement.
43;TRAVIS;They got collectibles, a figure, and as always, a monthly t-shirt that looks amazing.
44;MARISHA;Yeah.
45;MARISHA;It's always stylish.
46;TRAVIS;You can get your hands on some of that sweet, nasty Loot Crate swag by going to www.lootcrate.com/criticalrole for $3 off your monthly subscription.
47;TRAVIS;You do it.
48;TRAVIS;You get it.
49;TRAVIS;And Goku's on the table.
50;TRAVIS;He stays--
51;LAURA;Because you bite Goku through the game.
52;LAURA;I don't understand it.
53;TRAVIS;He's got pointy hair.
54;TRAVIS;I like chewing on things!
55;MARISHA;So wait, has this been an ongoing thing.
56;MARISHA;Did this start last week and I missed it?
57;TRAVIS;If it's not that, it's pen or pencils.
58;TRAVIS;I digress.
59;TRAVIS;Loot Crate, thank you!
60;TALIESIN;Loot Crate: you can put it in your mouth!
61;TRAVIS;You can?
62;TALIESIN;You do!
63;TALIESIN;Probably shouldn't, but you can.
64;MATT;Marisha, did you want to talk a little bit about a cool thing we have coming up now?
65;MARISHA;I do.
66;MARISHA;We have a new product that we're coming out with.
67;MARISHA;We teamed up with our friends over at Espionage Cosmetics to come out with Critical Role nail wraps!
68;MARISHA;We've got make-up now because that's how cool we are.
69;LAURA;They look really, really awesome.
70;MARISHA;Yes, and so there's some that are blue with our logo on them on silver.
71;MARISHA;And then we have red ones that say How do you want to do this?
72;TALIESIN;It's like a blood red with a little bit of black splatter--
73;MARISHA;And they glow in the dark.
74;MARISHA;What?
75;TRAVIS;They do?
76;TALIESIN, MARISHA;Yes, they do.
77;LAURA;Shebang!
78;LAURA;This is the blood splatter one.
79;MARISHA;And when you open the package, they're brought to you--
80;TALIESIN;Can you do it?
81;MARISHA;Yeah, I got this.
82;MARISHA;I always rip them.
83;MARISHA;But when you open it, they're from Gilmore's Glorious Goods.
84;TRAVIS;Oh snap!
85;LAURA;There he is on the inside.
86;MARISHA;Yeah, brought to you Gilmore.
87;MATT;Pretty fantastic.
88;LAURA;That's so awesome, man.
89;MARISHA;Uh-huh.
90;MARISHA;So yes, you can go get them right now.
91;MARISHA;They are available tonight.
92;LAURA, MARISHA;In the store.
93;MATT;So you can go ahead and make sure your nails look absolutely glorious.
94;MARISHA;And we tried to make them like unisex because people like Taliesin like to rock the nail wraps.
95;TALIESIN;Yes I do.
96;TALIESIN;I love rocking nail wraps.
97;LAURA;I have a feeling you would rock the nails, wouldn't you, Liam?
98;LIAM;Unicorn sex?
99;LAURA;What?
100;LAURA;Anywho, also available in the store tonight is a plethora of new merchandise for you guys.
101;LAURA;I know we've had a lack of it lately.
102;LAURA;Okay, I've got to say it all because it's really exciting.
103;LAURA;Okay, we have these badges, they come in a set of five--
104;TRAVIS;Hold your badges up.
105;LIAM;Badges?
106;LAURA;Oh, I took yours.
107;LAURA;They come in a set of five, they were limited edition at Comic Con so we have some left and so we put them in the store.
108;LAURA;They're super awesome.
109;LAURA;So those are available right now, but they are limited.
110;TRAVIS;How do you want to do this, Gilmore's Glorious Goods, the Slayer's Take.
111;LAURA;What's the other thing that's limited?
112;LAURA;Oh, the nail wraps, right.
113;MARISHA;Oh, also there are Geek and Sundry nail wraps.
114;TALIESIN;There also are some new Geek and Sundry nail wraps that have a blue and white thing and the little logo and I haven't seen if they're glow in the dark yet and I haven't looked yet, but I definitely have an outfit that these are going to work with so I'm taking these home.
115;MARISHA;Okay.
116;LAURA;We also have the rings back in stock.
117;MARISHA;What?
118;LAURA;Don't, baby, don't flip off everybody.
119;LAURA;So those we have a limited amount of-- Don't!
120;LAURA;I had a fly on my food.
121;TRAVIS;A one?
122;LAURA;Oh no, you really did roll a one!
123;TRAVIS;This shit never ends.
124;LAURA;Those are limited.
125;LAURA;Also, something that's going to be in store for a long time is my favorite thing ever, the Critical Role mug.
126;LAURA;As seen on Blindspot by Patterson.
127;LAURA;Yeah, so we finally had these in the store and these are made to order, but they are going to stay in the store so order them and whatever.
128;LAURA;In addition to those, we have things on pre-order that are going to stay in the store for a couple weeks and that is this amazing bracelet.
129;LAURA;You can check it all out at the store.
130;LAURA;It's there right now.
131;LAURA;It says How do you want to do this?
132;LAURA;it's got our logo on it, how badass is that?
133;TRAVIS;We already have ours because they're amazing.
134;TRAVIS;It's got like a raised CR too.
135;LAURA;And these are on pre-order too.
136;LAURA;You know you can't see them on this shot, I'm sure it's not close enough, but you can go on the store and you can see an awesome view of them and they're enamel pins of our logo and also a How do you want to do this?
137;LAURA;So you can put them on your jean jacket or your backpack or your hat.
138;LIAM;Like flair.
139;LAURA;Like flair.
140;LAURA;You can wear them on your apron if you work at Bennigan's or TGI Fridays.
141;TRAVIS;Rep your CR love, we'll slap your hands.
142;TRAVIS;Like in a high five, not in a bad way.
143;TRAVIS;Like slap hands.
144;LAURA;So that's all the amazingness that we have.
145;LIAM;These are sick.
146;LAURA;That's a lot.
147;TALIESIN;No, I know it's been slowly building and it's this sudden--
148;LIAM;Making it rain!
149;MARISHA;All the shit.
150;MARISHA;Live crit strong.
151;MATT;That's Travis for the rest of the game.
152;TRAVIS;My OCD wife will slaughter me.
153;LAURA;Yeah, I really will.
154;MATT;Good.
155;MATT;It never ceases to be the strangest thing to see a phrase that I organically made up in my home game is now on patches and pins.
156;MATT;It's so weird.
157;MATT;That's so weird.
158;TALIESIN;I'm glad that we finally have these.
159;TALIESIN;We had to fight to get these at Comic Con.
160;MATT;Yeah.
161;MATT;(phone notification beep)
162;LAURA;Who didn't silence their phone?
163;MARISHA;It's always Tal.
164;TALIESIN;It's Sam, though!
