;Player_Name;Transcription_Text
0;TRAVIS;Right, Listen up!
1;TRAVIS;If you have ale, then you have a friend in Grog Strongjaw.
2;TRAVIS;A goliath of towering height and size, this barbarian has an appetite for the two great loves in his life: combat, women, and ale!
3;TRAVIS;(chuckle) (record scratch) Wait.
4;TRAVIS;Easily the brains of the group, Grog is often consulted for his vast knowledge of shapes, colors, and (chuckle) shiny things!
5;TRAVIS;Also ale.
6;TRAVIS;In his early years, armed with his two-handed great axe, Grog often enjoyed proving his might amongst the ranks of his family's wandering herd.
7;TRAVIS;But after coming upon an unsuspecting elderly gnome in the woods, he objected to the killing of such an innocent life.
8;TRAVIS;A creature of impulse, Grog felt only pity for this-- well, this terrified little thing.
9;TRAVIS;And his disobedience cost him dearly.
10;TRAVIS;Beaten bloody and banished by the herd leader, his uncle Kevdak, Grog was abandoned and left to die, exiled from his herd.
11;TRAVIS;It was then that the relative of the very gnome he fought to save, saved him.
12;TRAVIS;It was the kindness of a gnome cleric named Pike that healed Grog, bringing him back from death's edge.
13;TRAVIS;And they have remained close friends ever since.
14;TRAVIS;Most nights, Grog can be found challenging entire taverns to wrestling matches!
15;TRAVIS;Ha!
16;TRAVIS;Or accompanying Scanlan to the nearest house where you pay for lady favors.
17;TRAVIS;Also ale!
18;MARISHA;A first impression of Keyleth would leave you with little information on the half-elven druid.
19;MARISHA;You might even think that her social awkwardness due to her sheltered upbringing is kind of sweet.
20;MARISHA;(chuckle) Of course, it would be unwise to underestimate her based on first impressions.
21;MARISHA;(thunder) Under that unintimidating petite frame is a vicious beast waiting to be unleashed, whose natural powers have made even the fiercest of champions pee their pants, literally!
22;MARISHA;(soft chuckle) Born to the Air Tribe of the Ashari people, Keyleth was raised with a deep love of nature and the elemental magics.
23;MARISHA;It is her people's inherent duty to protect the delicate areas in Tal'Dorei where the four elemental planes begin to bleed with this realm.
24;MARISHA;Since she was a little girl, she had quite a knack for air manipulation and beast shaping abilities.
25;MARISHA;Well, if you consider kittens and flying squirrels to be little beasts.
26;MARISHA;Which, I do.
27;MARISHA;(clears throat) Anyways, it wasn't long before the headmaster of the tribe, her father, Korren, realized her true prodigious abilities and she was inveterated to succeed him as the next headmaster.
28;MARISHA;Just like that, her jovial childhood was stripped and replaced with endless spell memorization, teachings from ancient traditions, and exceedingly high expectations.
29;MARISHA;Every druid leader to be must embark on a journey to seek out the sister tribes in order to introduce and establish respect amongst the fellow headmasters.
30;MARISHA;They call this the Aramente, or Noble Odyssey.
31;MARISHA;When her father felt she was ready, he set her on the path to truly discovering herself, not knowing when, or if, she will ever return.
32;MARISHA;As she hiked down the mountain towards Stillben, she meditated on the task ahead.
33;MARISHA;Part of the Aramente is proving yourself a strong warrior, a valiant protector, and a wise and compassionate leader.
